转换注：
该NPK辞典条目格式根据COLG精灵-传说纯手动改编
用于恋恋のEx的NPK辞典中查询使用
若有补充，请联系原作者，并通过原作者联系我进行修订（也可以自己修订）
BY-乘着歌声的翅膀2018.6.19
--------------------------------------------------------
使用方法：
在恋恋のEx的输出目录（默认为软件同目录下的output文件夹下），
找到npkdict.txt，将此文件替换即可。
恋恋のEx的NPK辞典可在主界面中特殊工具菜单中找到。
--------------------------------------------------------
原作者注：
有什么代码可以提供，我QQ是1289309989，论坛名称：精灵-传说
也欢迎加入补丁群进行讨论，群号334906062，
代码表持续更新中
更新于2018.6.19
--------------------------------------------------------
sprite_character_demonicswordsman.NPK,(黑暗武士)空的
sprite_character_priest_effect_atpetrolbomb.NPK,净化火焰瓶
sprite_character_priest_effect_atcutindash.NPK,冲刺斩
sprite_character_priest_effect_atpunishmentblow.NPK,裁决之击
sprite_character_priest_effect_atessenceofphlege.NPK,火焰精华
sprite_character_priest_effect_atfanaticism.NPK,狂热信仰
sprite_character_priest_effect_atholyflame.NPK,神焰
sprite_character_priest_effect_atholyflame_basicaction.NPK,神焰特效
sprite_character_priest_effect_atholyflame_weaponflame.NPK,神焰特效
sprite_character_priest_effect_atjudgmentblow.NPK,审判重击
sprite_character_swordman_effect_atblastsword.NPK,审判重击·调用文件（同回天璇鸣剑，调用的img大概是石头）
sprite_character_priest_effect_atessenceofphlege.NPK,神焰恩泽
sprite_character_priest_effect_atsummarytiral.NPK,神焰斩
sprite_character_priest_effect_atflameofbaptism.NPK,神焰洗礼
sprite_character_priest_effect_atessenceofphlege.NPK,神焰洗礼·调用文件（同神焰恩泽）
sprite_character_priest_effect_atvirtuousfury.NPK,神焰怒火
sprite_character_priest_effect_atdecollation.NPK,行刑
sprite_character_priest_effect_atburnatthestake.NPK,火刑
sprite_character_priest_effect_atburnatthestake_fire.NPK,火刑特效（火焰）
sprite_character_priest_effect_atviolentassault.NPK,火刑·调用文件（同空中锤击）
sprite_character_priest_effect_atvortexofhellfire.NPK,神焰漩涡
sprite_character_priest_effect_atholyflame_weaponflame.NPK,神焰漩涡（带火焰，同神焰特效）
sprite_character_priest_effect_atpurification.NPK,净化之焰
sprite_character_priest_effect_atessenceofphlege.NPK,净化之焰·调用文件（同神焰恩泽）
sprite_character_priest_effect_atdismember.NPK,裁决轮回斩（武器普通攻击特效）
sprite_character_priest_effect_atwheelofpunishment.NPK,车轮刑
sprite_character_priest_effect_atholyflame.NPK,车轮刑·调用文件（同神焰）
sprite_character_priest_effect_atburnatthestake_fire.NPK,车轮刑·调用文件（同火刑特效）
sprite_character_priest_effect_atwillofinquisitor.NPK,车轮刑·调用文件（同裁决轮回斩）
sprite_character_priest_effect_atinferno.NPK,炎狱祭坛：炮烙
sprite_character_priest_effect_atdualslash.NPK,双重切割
sprite_character_demoniclancer_effect_extremekillarts.NPK,双重切割·调用文件（同极影无形杀）
sprite_character_demoniclancer_effect_behead.NPK,双重切割·调用文件（同破灭斩）
sprite_character_priest_effect_atguillotine.NPK,断头台
sprite_character_priest_effect_atthedeadlysins.NPK,七宗罪
sprite_character_priest_effect_atlusthand.NPK,欲望之手
sprite_character_priest_effect_atdemonization.NPK,欲望之手·调用文件（同怠惰之息）
sprite_character_priest_effect_atprideaccel.NPK,傲慢之堕
sprite_character_priest_effect_atrollingrush.NPK,屠戮回旋斩
sprite_character_priest_effect_atdemonization.NPK,怠惰之息
sprite_character_priest_effect_atslothbody.NPK,怠惰之息·调用文件
sprite_character_priest_effect_atdemonization.NPK,怠惰之息·调用文件（变身）
sprite_character_priest_effect_atgreedthelurker.NPK,贪婪之刺
sprite_character_priest_effect_atscythemssacre.NPK,杀戮战镰
sprite_character_priest_effect_atscudthewrath.NPK,愤怒之袭
sprite_character_priest_effect_atdepravitysevensins.NPK,原罪释放·净化
sprite_character_priest_effect_atenviouskiss.NPK,嫉妒之吻
sprite_character_priest_effect_atsecondsoul.NPK,灵魂烙印：原罪冲击
sprite_character_priest_effect_atgreedthelurker.NPK,灵魂烙印：原罪冲击·调用文件
sprite_character_priest_effect_attemptresshiteffect.NPK,灵魂烙印：原罪冲击·调用文件
sprite_character_priest_effect_atrosaryshooting.NPK,灵魂烙印：原罪冲击·调用文件
sprite_character_priest_effect_atgluttonyvomit.NPK,暴食之噬
sprite_character_priest_effect_atthirdrib.NPK,肋骨重塑：原罪战矛
sprite_character_priest_effect_atdemonization.NPK,肋骨重塑：原罪战矛·调用文件
sprite_character_priest_effect_atdepravitysevensins.NPK,肋骨重塑：原罪战矛·调用文件
sprite_character_priest_effect_atlastgenesis.NPK,失乐园
sprite_character_priest_effect_attemptresshiteffect.NPK,失乐园·调用文件
sprite_character_priest_equipment_avatar_belt.NPK,(大叔)腰部,
sprite_character_priest_equipment_avatar_cap.NPK,(大叔)帽子,
sprite_character_priest_equipment_avatar_coat.NPK,(大叔)上衣,
sprite_character_priest_equipment_avatar_face.NPK,(大叔)脸部,
sprite_character_priest_equipment_avatar_hair.NPK,(大叔)头发,
sprite_character_priest_equipment_avatar_neck.NPK,(大叔)胸部,
sprite_character_priest_equipment_avatar_pants.NPK,(大叔)裤子,
sprite_character_priest_equipment_avatar_shoes.NPK,(大叔)鞋子,
sprite_character_priest_equipment_avatar_skin.NPK,(大叔)皮肤,
sprite_character_priest_equipment_weapon_axe.NPK,(大叔)战斧
sprite_character_priest_equipment_weapon_cross.NPK,(大叔)十字架
sprite_character_priest_equipment_weapon_rosary.NPK,(大叔)念珠
sprite_character_priest_equipment_weapon_scythe.NPK,(大叔)镰刀
sprite_character_priest_equipment_weapon_totem.NPK,(大叔)图腾
sprite_character_priest_effect_exorcist.NPK,(大叔)驱魔
sprite_character_priest_equipment_growtype.NPK,(大叔)蓝拳
sprite_character_priest_effect.NPK,(大叔)圣骑、复仇、技能图标、其他特效
sprite_character_priest_effect_cutin.NPK,(大叔)圣职者二觉立绘
sprite_character_priest_effect_antiairupper.NPK,空斩打特效
sprite_character_priest_effect_apocalypse.NPK,天启之珠
sprite_character_priest_effect_atomicsmash.NPK,无双击
sprite_character_priest_effect_avengerawakening.NPK,魔化执行审判者
sprite_character_priest_effect_avengerawakening_attack.NPK,审判者的黑暗杀戮血刃特效
sprite_character_priest_effect_avengerawakening_attack_attack1_2.NPK,
sprite_character_priest_effect_avengerawakening_dash.NPK,审判者的移动冲击特效
sprite_character_priest_effect_awakening.NPK,审判者的特效
sprite_character_priest_effect_baekho.NPK,式神·白虎
sprite_character_priest_effect_battleauramastery.NPK,普通攻击拳气
sprite_character_priest_effect_battleaxemastery.NPK,斧头精通特效
sprite_character_priest_effect_bigbangpunch.NPK,泯灭神击
sprite_character_priest_effect_bladeofpurewhite.NPK,纯白之刃
sprite_character_priest_effect_bless.NPK,天使祝福
sprite_character_priest_effect_bluedragon.NPK,苍龙逐日
sprite_character_priest_effect_chakraofcalmness.NPK,脉轮·圣光和寒冰
sprite_character_priest_effect_chakraofpassion.NPK,脉轮·烈焰
sprite_character_priest_effect_changehptomp.NPK,化魔
sprite_character_priest_effect_chargeweapon.NPK,空斩打蓄满力特效
sprite_character_priest_effect_choppinghammer.NPK,破碎之锤
sprite_character_priest_effect_darkstrike.NPK,黑暗切割
sprite_character_priest_effect_deflectwall.NPK,圣光沁盾
sprite_character_priest_effect_devilstrike.NPK,审判者的攻击特效
sprite_character_priest_effect_disaster_active.NPK,末日浩劫时的跃空特效
sprite_character_priest_effect_disaster_exp.NPK,末日浩劫时的攻击特效
sprite_character_priest_effect_disaster_fallingdown.NPK,末日浩劫时的空降特效
sprite_character_priest_effect_disaster_ready.NPK,末日浩劫前的跃空特效
sprite_character_priest_effect_divinecrush.NPK,圣拳锤击
sprite_character_priest_effect_divinelight.NPK,圣光守护
sprite_character_priest_effect_earthquake.NPK,裂地锤
sprite_character_priest_effect_emblemofsafeguard.NPK,守护纹章
sprite_character_priest_effect_enteringnirvana.NPK,破魔符
sprite_character_priest_effect_execution.NPK,审判者执刑时的攻击特效
sprite_character_priest_effect_fallingsoul.NPK,堕落之魂
sprite_character_priest_effect_fastmove.NPK,厄运之轮
sprite_character_priest_effect_flashglobe.NPK,圣光球
sprite_character_priest_effect_fountainoflife.NPK,生命源泉
sprite_character_priest_effect_galesmash.NPK,疾风打
sprite_character_priest_effect_giantswing.NPK,疾空旋风破
sprite_character_priest_effect_gloriousbless.NPK,荣誉祝福
sprite_character_priest_effect_gorgeouscombination.NPK,圣拳连击
sprite_character_priest_effect_grasphandofanger.NPK,恶魔之手
sprite_character_priest_effect_hammerofcontrition.NPK,忏悔之锤
sprite_character_priest_effect_healwind.NPK,圣愈之风
sprite_character_priest_effect_heavenlycombination.NPK,神圣组合拳
sprite_character_priest_effect_hedgehog.NPK,复仇之刺
sprite_character_priest_effect_highspeedslash.NPK,死亡切割
sprite_character_priest_effect_homerun.NPK,星落打
sprite_character_priest_effect_hotcross.NPK,圣光十字
sprite_character_priest_effect_hpmaxupparty.NPK,天堂谐音
sprite_character_priest_effect_hpmaxuppersonal.NPK,天籁之音
sprite_character_priest_effect_hurricaneroll.NPK,极速飓风拳
sprite_character_priest_effect_hyunmoo.NPK,式神·玄武
sprite_character_priest_effect_judgement.NPK,正义审判
sprite_character_priest_effect_machinegunjab.NPK,刺拳猛击
sprite_character_priest_effect_oppressiontalisman.NPK,压制符
sprite_character_priest_effect_oxcrash.NPK,断空锤击
sprite_character_priest_effect_pandemonium.NPK,地狱之门
sprite_character_priest_effect_powerofdarkness.NPK,黑暗权能
sprite_character_priest_effect_quakearea.NPK,落凤锤
sprite_character_priest_effect_repeatedsmash.NPK,狂乱锤击
sprite_character_priest_effect_revengeoflight.NPK,光之复仇
sprite_character_priest_effect_ripper.NPK,黑暗之触前夕
sprite_character_priest_effect_risingarea.NPK,升天阵
sprite_character_priest_effect_sacrificeofsoul.NPK,灵魂牺牲
sprite_character_priest_effect_scythemastery.NPK,镰刀精通特效
sprite_character_priest_effect_shadowboxer.NPK,幻影分身
sprite_character_priest_effect_shikigami.NPK,式神·殇
sprite_character_priest_effect_sidewind.NPK,瞬拳
sprite_character_priest_effect_slowheal.NPK,缓慢愈合
sprite_character_priest_effect_smasher.NPK,虎袭特效
sprite_character_priest_effect_spearofvictory.NPK,胜利之矛
sprite_character_priest_effect_spincutter.NPK,旋转切割
sprite_character_priest_effect_striking.NPK,武器祝福
sprite_character_priest_effect_throwweapon.NPK,巨旋风
sprite_character_priest_effect_thunderbolttalisman.NPK,落雷符
sprite_character_priest_effect_vermilionbirdtalisman.NPK,朱雀符
sprite_character_priest_effect_willdriver.NPK,意念驱动
sprite_character_priest_effect_deflectwallex.NPK,双子沁盾
sprite_character_priest_effect_flashglobeex.NPK,圣光琉璃碎
sprite_character_priest_effect_heavenlycombinationex.NPK,破魂组合拳
sprite_character_priest_effect_hyunmooex.NPK,式神·真玄武
sprite_character_priest_effect_machinegunjabex.NPK,刺拳狂击
sprite_character_priest_effect_repeatedsmashex.NPK,狂暴锤击
sprite_character_priest_effect_avengerguard.NPK,审判者某动作
sprite_character_priest_effect_corkscrewmastery.NPK,某血十字
sprite_character_priest_effect_destroyspirittalisman.NPK,某落雷符
sprite_character_priest_effect_devilinvitation.NPK,黑暗之触
sprite_character_priest_effect_hedgehog.NPK,某刺
sprite_character_priest_effect_highspeedslash.NPK,某死亡切割
sprite_character_swordman_atequipment_avatar_belt.NPK,(女鬼)腰部
sprite_character_swordman_atequipment_avatar_cap.NPK,(女鬼)帽子,
sprite_character_swordman_atequipment_avatar_coat.NPK,(女鬼)衣服
sprite_character_swordman_atequipment_avatar_face.NPK,(女鬼)脸部,
sprite_character_swordman_atequipment_avatar_hair.NPK,(女鬼)头发,
sprite_character_swordman_atequipment_avatar_neck.NPK,(女鬼)胸部,
sprite_character_swordman_atequipment_avatar_pants.NPK,(女鬼)裤子,
sprite_character_swordman_atequipment_avatar_shoes.NPK,(女鬼)鞋子,
sprite_character_swordman_atequipment_avatar_skin.NPK,(女鬼)皮肤
sprite_character_swordman_atequipment_weapon_beamswd.NPK,(女鬼)光剑
sprite_character_swordman_atequipment_weapon_boneswd.NPK,(女鬼)骨剑
sprite_character_swordman_atequipment_weapon_club.NPK,(女鬼)钝器
sprite_character_swordman_atequipment_weapon_gemswd.NPK,(女鬼)宝石剑
sprite_character_swordman_atequipment_weapon_katana.NPK,(女鬼)太刀
sprite_character_swordman_atequipment_weapon_lgswd.NPK,(女鬼)西洋剑
sprite_character_swordman_atequipment_weapon_lkatana.NPK,(女鬼)长太刀
sprite_character_swordman_atequipment_weapon_lswd.NPK,(女鬼)巨剑
sprite_character_swordman_atequipment_weapon_mswd.NPK,(女鬼)宽刃剑
sprite_character_swordman_atequipment_weapon_sswd.NPK,(女鬼)短剑
sprite_character_swordman_effect_atgrowtype.NPK,(女鬼)剑宗、剑魔
sprite_character_swordman_effect_atevolve.NPK,(女鬼)暗殿骑士特效
sprite_character_swordman_effect_cutin.NPK,(女鬼)女鬼剑二觉立绘
sprite_character_swordman_effect_addwave.NPK,剑宗剑气特效
sprite_character_swordman_effect_addwave_light.NP,剑宗剑气特效
sprite_character_swordman_effect_atautoguard.NPK,收剑特效
sprite_character_swordman_effect_atbalgumsool.NPK,爆炸特效
sprite_character_swordman_effect_atbladesoul.NPK,斩魂术
sprite_character_swordman_effect_atblooddance.NPK,蛇腹剑:刺
sprite_character_swordman_effect_atbloodseal.NPK,唤魔:封之印
sprite_character_swordman_effect_atcalldaimus.NPK,唤魔:蛇腹剑
sprite_character_swordman_effect_atchainslash.NPK,连环斩
sprite_character_swordman_effect_atchangesword.NPK,魔剑降临
sprite_character_swordman_effect_atclawblade.NPK,血饮狂舞
sprite_character_swordman_effect_atcounterslash.NPK,连环斩2
sprite_character_swordman_effect_atdarkslash.NPK,暗黑斩
sprite_character_swordman_effect_atdarkstrike.NPK,唤魔:塔莫斯之袭
sprite_character_swordman_effect_atdevilishness.NPK,处刑
sprite_character_swordman_effect_atdevilslash.NPK,恶即斩
sprite_character_swordman_effect_atdevilslash_hit.NPK,同上
sprite_character_swordman_effect_atelementaleffect.NPK,剑宗四属性武器特效
sprite_character_swordman_effect_atelementalsword.NPK,剑宗四种属性武器
sprite_character_swordman_effect_atexcalibur.NPK,雷鸣千军破
sprite_character_swordman_effect_atexecution.NPK,贪食者镓罗亚
sprite_character_swordman_effect_atflash.NPK,破军旋舞斩
sprite_character_swordman_effect_atfrenzy.NPK,处刑
sprite_character_swordman_effect_atgigablade.NPK,空绝斩:千刃
sprite_character_swordman_effect_atgreed.NPK,状态技能
sprite_character_swordman_effect_atgroupdance.NPK,群魔乱舞
sprite_character_swordman_effect_athalfmoon.NPK,瞬影三绝斩
sprite_character_swordman_effect_atillusionslash.NPK,幻剑术
sprite_character_swordman_effect_atjackcatch.NPK,裂刃天冲
sprite_character_swordman_effect_atliftslash.NPK,幻剑术
sprite_character_swordman_effect_atmagicswordup.NPK,剑宗四属性武器特效
sprite_character_swordman_effect_atmountaincrash.NPK,跃空斩
sprite_character_swordman_effect_atoverdrive.NPK,人剑合一
sprite_character_swordman_effect_atpikesword.NPK,蛇腹剑:缠
sprite_character_swordman_effect_atsiryun.NPK,波动斩
sprite_character_swordman_effect_atbigjang.NPK,如来神掌
sprite_character_swordman_effect_atblackmirror.NPK,魔境幻影阵
sprite_character_swordman_effect_atblastsword.NPK,回天璇鸣剑
sprite_character_swordman_effect_atbuckshot.NPK,暗影禁锢
sprite_character_swordman_effect_atcoalban.NPK,游龙掌
sprite_character_swordman_effect_atcoldheart.NPK,某吸取特效
sprite_character_swordman_effect_atcometblade.NPK,花舞千魂杀
sprite_character_swordman_effect_atdeadlycape.NPK,暗影囚杀
sprite_character_swordman_effect_atdestroyer.NPK,暗影禁锢2
sprite_character_swordman_effect_atdoomsday.NPK,暗影盛宴
sprite_character_swordman_effect_atdragonup.NPK,极奴剑术:幻剑阵
sprite_character_swordman_effect_atdualweapon.NPK,两仪功
sprite_character_swordman_effect_atsnakedance.NPK,蛇腹剑:舞
sprite_character_swordman_effect_atspeedslash.NPK,疾影斩
sprite_character_swordman_effect_atspinslash.NPK,跃空斩
sprite_character_swordman_effect_atthunderslash.NPK,穿云破空剑
sprite_character_swordman_effect_attimeslash.NPK,极奴剑术:时空斩
sprite_character_swordman_effect_atupperslash.NPK,升龙剑
sprite_character_swordman_effect_atwhipswordbal.NPK,蛇腹剑:破
sprite_character_swordman_effect_atwildwhip.NPK,破军旋舞斩
sprite_character_swordman_effect_atwillpower.NPK,唤魔:蛇腹剑
sprite_character_swordman_effect_atecstasy.NPK,某火特效
sprite_character_swordman_effect_atevolve.NPK,暗殿骑士特效
sprite_character_swordman_effect_atfistofhellfire.NPK,红莲业火掌
sprite_character_swordman_effect_atfivecircle.NPK,某爆炸特效
sprite_character_swordman_effect_atgorecross.NPK,血十字剑
sprite_character_swordman_effect_athellfire.NPK,焚天练日
sprite_character_swordman_effect_athiddenblade.NPK,影刃
sprite_character_swordman_effect_atimmolation.NPK,魔刃轰杀
sprite_character_swordman_effect_atinhalation.NPK,某走特效
sprite_character_swordman_effect_atkatanamastery.NPK,极奴剑术:幻剑阵特效
sprite_character_swordman_effect_atloyalservant.NPK,死亡献祭
sprite_character_swordman_effect_atnearblow.NPK,圆舞斩
sprite_character_swordman_effect_atoverblowslash.NPK,乱花葬
sprite_character_swordman_effect_atphnom.NPK,唤魔:逆天之普诺
sprite_character_swordman_effect_atpredatorgaloa.NPK,释魂飞弹
sprite_character_swordman_effect_atshadowbinding.NPK,暗影缠绕
sprite_character_swordman_effect_atshadowharvest.NPK,暗影旋涡
sprite_character_swordman_effect_atshadowhiding.NPK,暗影缠绕
sprite_character_swordman_effect_atshadowlancer.NPK,暗影之矛
sprite_character_swordman_effect_atshadowpuppet.NPK,魅影暗魂斩
sprite_character_swordman_effect_atsnakeshadow.NPK,三连斩
sprite_character_swordman_effect_atsoarcut.NPK,两仪功特效
sprite_character_swordman_effect_atspaceignite.NPK,某爆炸
sprite_character_swordman_effect_atstarfall.NPK,暗影轰杀
sprite_character_swordman_effect_atthreeside.NPK,三连斩
sprite_character_swordman_effect_atusir.NPK,某技能加成
sprite_character_swordman_effect_atzweivoltage.NPK,啸空十字斩
sprite_character_swordman_effect_atearthpressure.NPK,碎岩裂地掌
sprite_character_swordman_effect_atrevolvingsword.NPK,轮回剑
sprite_character_swordman_effect_atscaffolt.NPK,暗影禁锢
sprite_character_swordman_equipment_avatar_belt.NPK,(男鬼)腰部
sprite_character_swordman_equipment_avatar_cap.NPK,(男鬼)帽子,
sprite_character_swordman_equipment_avatar_coat.NPK,(男鬼)衣服
sprite_character_swordman_equipment_avatar_face.NPK,(男鬼)脸部,
sprite_character_swordman_equipment_avatar_hair.NPK,(男鬼)头发,
sprite_character_swordman_equipment_avatar_neck.NPK,(男鬼)胸部,
sprite_character_swordman_equipment_avatar_pants.NPK,(男鬼)裤子,
sprite_character_swordman_equipment_avatar_shoes.NPK,(男鬼)鞋子,
sprite_character_swordman_equipment_avatar_skin.NPK,(男鬼)皮肤
sprite_character_swordman_equipment_weapon_beamswd.NPK,(男鬼)光剑
sprite_character_swordman_equipment_weapon_boneswd.NPK,(男鬼)骨剑
sprite_character_swordman_equipment_weapon_club.NPK,(男鬼)钝器
sprite_character_swordman_equipment_weapon_gemswd.NPK,(男鬼)宝石剑
sprite_character_swordman_equipment_weapon_katana.NPK,(男鬼)太刀
sprite_character_swordman_equipment_weapon_lgswd.NPK,(男鬼)西洋剑
sprite_character_swordman_equipment_weapon_lkatana.NPK,(男鬼)长太刀
sprite_character_swordman_equipment_weapon_lswd.NPK,(男鬼)巨剑
sprite_character_swordman_equipment_weapon_lswd_teen,(男鬼)某巨剑
sprite_character_swordman_equipment_weapon_mswd.NPK,(男鬼)宽刃剑
sprite_character_swordman_equipment_weapon_sswd.NPK,(男鬼)短剑
sprite_character_swordman_equipment_growtype.NPK,(男鬼)剑魂、狂战、修罗
sprite_character_swordman_effect.NPK,(男鬼)鬼泣、技能图标、其他特效
sprite_character_swordman_equipment_growtype_bloodevil.NPK,(男鬼)帝血弑天
sprite_character_swordman_equipment_growtype_darklord.NPK,(男鬼)黑暗君主
sprite_character_swordman_equipment_growtype_indaratian.NPK,(男鬼)天帝
sprite_character_swordman_equipment_growtype_jianshen.NPK,(男鬼)剑神
sprite_character_swordman_effect_cutin.NPK,男鬼剑二觉立绘
sprite_character_swordman_effect_slashofboom.NPK,鬼斩·狂怒
sprite_character_swordman_effect_slashofhell.NPK,鬼斩·炼狱
sprite_character_swordman_effect_bladephantomex.NPK,幽魂降临：式
sprite_character_swordman_effect_blache.NPK,第七鬼神：邪神怖拉修
sprite_character_swordman_effect_bladephantom.NPK,幽冥剑影阵
sprite_character_swordman_effect_blastblood.NPK,怒气爆发
sprite_character_swordman_effect_bloodboom.NPK,浴血之怒
sprite_character_swordman_effect_bloodevil.NPK,狂战静止时的血手
sprite_character_swordman_effect_bloodinkanet.NPK,狂战剑气特效
sprite_character_swordman_effect_bloodsword.NPK,血气之刃
sprite_character_swordman_effect_bloodyrave.NPK,噬魂封魔斩
sprite_character_swordman_effect_chargecrash.NPK,破军升龙击
sprite_character_swordman_effect_darktoleranceup.NPK,暗月降临
sprite_character_swordman_effect_descentsoul.NPK,鬼神诏令
sprite_character_swordman_effect_dashattackmultihit.NPK,连突刺
sprite_character_swordman_effect_epidemicrasa.NPK,瘟疫之罗刹
sprite_character_swordman_effect_firewave.NPK,爆炎·波动剑
sprite_character_swordman_effect_flowmindone.NPK,流心·刺
sprite_character_swordman_effect_flowmindpowerup.NPK,流心·狂
sprite_character_swordman_effect_flowmindthree.NPK,流心·升
sprite_character_swordman_effect_flowmindtwo.NPK,流心·跃
sprite_character_swordman_effect_frenzy.NPK,血之狂暴
sprite_character_swordman_effect_ghostsidewind.NPK,鬼剑鞭
sprite_character_swordman_effect_flame.NPK,波动剑`烈焰
sprite_character_swordman_effect_lightningpower.NPK,某剑坠
sprite_character_swordman_effect_normalwave.NPK,某冰火爆
sprite_character_swordman_effect_victory.NPK,转
sprite_character_swordman_effect_tombstone.NPK,死亡墓碑
sprite_character_swordman_effect_tombstoneex.NPK,墓碑三绝阵
sprite_monster_zig.NPK,王者号令：吉格降临
sprite_character_swordman_effect_blastbloodex.NPK,血气爆发
sprite_character_swordman_effect_chagecrashex.NPK,破军斩龙击
sprite_character_swordman_effect_grabblastbloodex.NPK,灭魂之手
sprite_character_swordman_effect_icewaveex.NPK,极冰·裂波剑
sprite_character_swordman_effect_momentaryslashex.NPK,破空拔刀斩
sprite_character_swordman_effect_ghoststep.NPK,鬼影步.鬼影闪
sprite_character_swordman_effect_giveblood.NPK,嗜血
sprite_character_swordman_effect_gorecross.NPK,十字斩
sprite_character_swordman_effect_grabblastblood.NPK,嗜魂之手
sprite_character_swordman_effect_guard.NPK,格挡
sprite_character_swordman_effect_handlingsword.NPK,万剑归宗
sprite_character_swordman_effect_hardattackcharge.NPK,噬灵鬼斩
sprite_character_swordman_effect_hellbenter.NPK,魔狱血刹
sprite_character_swordman_effect_hopsmash.NPK,崩山击
sprite_character_swordman_effect_hundredsword.NPK,极,·,鬼剑术（暴风式）
sprite_character_swordman_effect_illusionslash.NPK,幻影剑舞
sprite_character_swordman_effect_illusionslash_finish.NPK,剑魂钝器精通追加的剑风冲击波
sprite_character_swordman_effect_indaramang.NPK,波动剑：天网
sprite_character_swordman_effect_indratian.NPK,电光
sprite_character_swordman_effect_jumpattackmulti.NPK,空中连斩
sprite_character_swordman_effect_kalla.NPK,冥炎之卡洛
sprite_character_swordman_effect_lightninggod.NPK,雷神
sprite_character_swordman_effect_meteorsword.NPK,极·神剑术（流星落）
sprite_character_swordman_effect_momentaryslash.NPK,拔刀斩
sprite_character_swordman_effect_outragebreak.NPK,崩山裂地斩
sprite_character_swordman_effect_rapidmoveslash.NPK,猛龙断空斩
sprite_character_swordman_effect_reflectguard.NPK,鬼印珠
sprite_character_swordman_effect_shockwavearea.NPK,邪光波动阵
sprite_character_swordman_effect_shortswordmastery.NPK,剑魂短剑精通上挑追加的剑气
sprite_character_swordman_effect_standalonewave.NPK,无双波
sprite_character_swordman_effect_standalonewave_light.NPK,二觉后无双波
sprite_character_swordman_effect_stateoflimit.NPK,极·神剑术（极限之领域）
sprite_character_swordman_effect_swordofmind.NPK,极·神剑术（破空斩）
sprite_character_swordman_effect_tripleslash.NPK,三段斩
sprite_character_swordman_effect_triplestab.NPK,鬼影三击剑
sprite_character_swordman_effect_vajra.NPK,天雷：金刚杵
sprite_character_swordman_effect_vaneslash.NPK,裂波斩
sprite_character_swordman_effect_vaneslash_light.NPK,二觉后裂波斩
sprite_character_swordman_effect_waveeye.NPK,暗天波动眼
sprite_character_swordman_effect_waveeye_light.NPK,二觉后暗天波动眼
sprite_character_swordman_effect_wavemark.NPK,波动刻印
sprite_character_swordman_effect_wavespinarea.NPK,不动明王阵
sprite_character_swordman_effect_wavespinarea_light.NPK,二觉后不动明王阵
sprite_character_swordman_effect_weaponcombo.NPK,里·鬼剑术
sprite_character_swordman_effect_zig.NPK,王者号令：吉格降临
sprite_character_swordman_effect_sayaex.NPK,冰晶之萨亚
sprite_character_thief_equipment_avatar_belt.NPK,(盗贼)腰部
sprite_character_thief_equipment_avatar_cap.NPK,(盗贼)帽子
sprite_character_thief_equipment_avatar_coat.NPK,(盗贼)衣服
sprite_character_thief_equipment_avatar_face.NPK,(盗贼)脸部
sprite_character_thief_equipment_avatar_hair.NPK,(盗贼)头发
sprite_character_thief_equipment_avatar_neck.NPK,(盗贼)胸部
sprite_character_thief_equipment_avatar_pants.NPK,(盗贼)裤子
sprite_character_thief_equipment_avatar_shoes.NPK,(盗贼)鞋子
sprite_character_thief_equipment_avatar_skin.NPK,(盗贼)皮肤
sprite_character_thief_equipment_weapon_dagger.NPK,(盗贼)匕首
sprite_character_thief_equipment_weapon_twinswd.NPK,(盗贼)双剑
sprite_character_thief_equipment_weapon_wand.NPK,(盗贼)权杖,
sprite_character_thief_effect.NPK,(盗贼)死灵、刺客,忍者·影武者
sprite_character_thief_equipment_growtype.NPK,(盗贼)影武者·忍者职业特征
sprite_character_thief_effect_cutin,暗夜四职业二次觉醒
sprite_character_thief_effect_ambitionofballacre.NPK,巴拉克的野心
sprite_character_thief_effect_anklecut.NPK,碎踝
sprite_character_thief_effect_ballacre.NPK,降临：暴君巴拉克
sprite_character_thief_effect_blackarea.NPK,暗影蛛丝阵
sprite_character_thief_effect_blackwave.NPK,吸魂暗劲波
sprite_character_thief_effect_blameofdead.NPK,死灵之怨
sprite_character_thief_effect_boneshield.NPK,骨盾
sprite_character_thief_effect_chargeeffect.NPK,蓄力的特效
sprite_character_thief_effect_cursespear.NPK,诅咒之箭
sprite_character_thief_effect_darklure.NPK,百鬼夜行
sprite_character_thief_effect_darknail.NPK,死亡之爪
sprite_character_thief_effect_darkritual.NPK,暗黑仪式
sprite_character_thief_effect_darksoul.NPK,暗魂波
sprite_character_thief_effect_doublepierce.NPK,双刃穿刺
sprite_character_thief_effect_excelstrikeadd.NPK,雷光刃影
sprite_character_thief_effect_flyingsquirrel.NPK,忍法：飞鼠
sprite_character_thief_effect_guillotine.NPK,巴拉克的愤怒
sprite_character_thief_effect_hurricane.NPK,剑刃风暴
sprite_character_thief_effect_nicolaszombie.NPK,驱使僵尸
sprite_character_thief_effect_phantomstrom.NPK,千魂祭
sprite_character_thief_effect_silverstream.NPK,月轮舞
sprite_character_thief_effect_skintakeoff.NPK,忍法：影分身
sprite_character_thief_effect_sonicassault.NPK,疾风乱舞
sprite_character_thief_effect_sworddance.NPK,旋舞斩
sprite_character_thief_effect_throwknife.NPK,手里剑
sprite_character_thief_effect_verticalspiral.NPK,螺旋穿刺
